Description,Price,Sqr Ft,Longitude,Latitude,Beds,Bath,Year Built,Address,City,State,Zipcode
 REMODELED 4 BED OR 3 +DEN-1 STORY w HUGE GREAT ROOM! NEW A/C HEATING UNIT ! ROOF About 1 YEAR Old! NEW STAINLESS STOVE-DW-MICRO&gt; NEW CABINETS&gt;GRANITE&gt;KOHLER SINK/FAUCET&gt;NEW LAMINATE WOOD FLOOR&gt;WATERPROOF PLANK IN BATHS&gt;LIGHTING&gt;FANS&gt;UNDERMOUNT SINKS w VANITIES! Beautiful Wrought Iron Gate ENTRY! Large BACK Yard! Wrought Iron Gated SIDE YARD ENTRY! Wide Concrete from gate to Back Yard! Newly Finished Painted Garage- Close to STRIP-DWNTWN-AIRPORT! ,"$289,900 ","1,609 sqft",-115.18399,36.140083,4,2,1975," Address Not Disclosed Las Vegas, NV 89102 ",Las Vegas,NV,89102
" Beautiful Townhome in West Nashville ! Remodeled kitchen with custom cabinetry and granite counter tops! Kenmore appliances included! New HVAC! Freshly painted throughout with hardwood, laminate and tile flooring. Master and second bedroom include walk-in closets. Refinished fence with patio space and nice view! Well maintained property! Affordable for the area and will sell fast! ","$287,000 ","1,526 sqft",-86.91696,36.119347,3,3,2005," 7277 Charlotte Pike #212 Nashville, TN 37209 ",Nashville,TN,37209
" Totally upgrade the whole house. Separate & spacious 20x30 Master suite, hotel-like bath, jetted tub, steam shower. New roof, New inside and outside painting. Three car garages. Kitchen enlarged & remodeled, newer appliances & showcase cabinets. Garage features full length closed cabinets. One bedroom downstairs off family room. This location can get short term rental business license. You have to see this house to appreciate its size and beauty ","$459,000 ","2,979 sqft",-115.21189,36.174984,6,4,1979," 5124 Casco Way Las Vegas, NV 89107 ",Las Vegas,NV,89107
" Quality you expect in a new home. Soft close drawers and cabinets, covered porch and patio, High ceilings, wide doorways and master suite with double vanity and oversized walk-in closet. Tiled shower and tub in bathrooms. The open floor plan and high, beamed vaulted ceiling, custom lighting and tons of natural light. Aledo ISD, no city taxes, no HOA. ","$260,000 ","1,775 sqft",-97.55471,32.781715,3,2,2020," 328 Hillcroft Rd Fort Worth, TX 76108 ",Fort Worth,TX,76108
" Stunning modern transitional executive home on rare cul-de-sac lot w spectacular views of creek & golf course. This luxurious estate has been transformed with high end finishes & designer fixtures. Beyond the solid mahogany entry doors, the grand foyer with soaring ceilings opens to the formal living area. Towering windows gaze over your glorious pool & garden; further to the golf course. Home provides the perfect flex floorplan for your family, designed for large scale entertaining. Bright & spacious chef's kitchen w marble waterfall peninsula, Viking 6-burner cooktop, built-in Subzero fridges & custom cabinets adjoins the informal living & leads into an elegant formal dining w wet bar & cozy breakfast nook. ","$1,099,000 ","4,804 sqft",-96.8483,33.043095,4,5,1996," 3101 Royal Sydney Ct Plano, TX 75093 ",Plano,TX,75093
" Stunning REDESIGNED Home! All the updates are done! Open & Bright w/WOOD & TRAVERTINE floors (NO CARPET), PLANTATION shutters, contemporary Edison lights, SHIPLAP accent walls. Dream eat-in kitchen w/GRANITE, island, breakfast bar, CARRARA MARBLE BACKSPLASH, stainless appl, single basin sink, pantry. Grand master w/BARN DOOR entry to luxurious EnSuite w/sep vanities & Walk-in DUAL RAIN HEAD MARBLE TILE SHOWER! Split floorplan, Guest bath w/chic tile & dbl vanity. CVRD PATIO, SUCCULENT GARDEN! Welcome Home! ","$299,000 ","2,047 sqft",-98.60427,29.55795,3,2,1997," 12024 Hart Path San Antonio, TX 78249 ",San Antonio,TX,78249
" MUST SEE. FURNISHINGS AVAILIBLE FOR SALE. Beautiful 2 story home in a gated community featuring; 3 bed, 3 bath, Large living room and a loft area desk /study area. New flooring. Inviting open floor plan with beautiful tile and cultured stone. Beautiful kitchen W/new white Quartz counter tops and lots of cabinets. Large Master with extra large walk in closet with chandelier. lots of storage in this home. Huge back yard with fire pit. Lots of room. ","$289,000 ","1,816 sqft",-115.03272,36.12139,3,3,2004," 6440 Pronghorn Ridge Ave Las Vegas, NV 89122 ",Las Vegas,NV,89122
" Move in ready completely remodeled North Central home. Contemporary feel with stone flooring, stainless LG and Bosch appliances, granite counter tops. office, custom closets, and two brand new HVAC units under ten-year warranty. Must see the incredible backyard with beautiful landscaping, solar heated pool, living and dining areas. Home is located in the highly sought after Sunnyslope High School district. The mailing address is 7th Ave but property sits back on W El Caminito. ","$599,900 ","2,552 sqft",-112.08295,33.559822,3,2.5,1975," 8454 N 7th Ave Phoenix, AZ 85021 ",Phoenix,AZ,85021
" This beautiful home is locate in the rapid growing community of Horizon City. Your new two story home has 3 bedrooms and 2.5 baths plus an office. Master bedroom is located downstairs for your comfort and convenience. The roof was replaced 2 years ago. And furthermore, there is plenty of land to let your imagination run free and create your personal outdoor paradise!! ","$118,000 ","1,222 sqft",-106.16555,31.688477,3,3,2005," 14737 Horizon View Dr Horizon City, TX 79928 ",Horizon City,TX,79928
" Bank Owned 1 Bed/1 Bath unit in the Sea View Condominium. Fantastic views from the 12th floor of Brickell, Downtown Miami and the Bay. Located in the exploding neighborhood of Little Havana with easy access to I-95, downtown and Brickell. Priced to sell. Employees or directors of JPMorgan Chase & Co. and its direct and indirect subsidiaries are strictly prohibited from directly or indirectly purchasing any property owned or serviced by or on behalf of JPMorgan Chase & Co. or its direct and indirect subsidiaries. All offers must be submitted by the buyer's agent using the online offer management system. Access the system via the link below. A technology fee will apply to the buyer's agent upon consummation of a sale. ","$218,500 ",730 sqft,-80.21862,25.751488,1,1,2004," 1401 SW 22nd St #1205 Miami, FL 33145 ",Miami,FL,33145
" This is an excellent opportunity for a business owner to live in the one bedroom on top of the two commercial units, or house an employee for the business. Large gated side and rear yard can accommodate trucks or possibly 10 vehicles. Buyer to check with the City of Los Angeles regarding Development potential. ","$499,000 ","1,560 sqft",-118.252464,34.001514,1,3,1945," 4617 Hooper Ave Los Angeles, CA 90011 ",Los Angeles,CA,90011
" Location, Location, Location! Here you go, nice brick rancher, large lot, spacious dinning room off kitchen with fireplace, minutes away from restaurants & Hanes Mall. Three bedrooms, 2 baths, hardwood floors, spacious lower level playroom. Needs a little updating, come bring your ideas and make this one yours today. ","$174,900 ","2,130 sqft",-80.304405,36.079765,3,2,1958," 2087 S Hawthorne Rd Winston Salem, NC 27103 ",Winston Salem,NC,27103
 Miami Beach Apartment with balcony on the 5th floor with spectacular view to the city. SPACIOUS 1 BED 1 AND A HALF APT. READY TO MOVE IN. PLENTY OF CLOSET SPACE. GREAT LOCATION. A FEW BLOCKS FROM THE BEACH.. The sales is subject to ** COURT APPROVAL** Showing Only on Weekends. Use Showing Time. ,"$170,000 ",805 sqft,-80.124985,25.861534,1,2,1971," 7620 Carlyle Ave #502 Miami Beach, FL 33141 ",Miami Beach,FL,33141
" Move in ready, newly updated 3 bedroom, 2 bathroom home at the end of a quiet cul de sac. New HVAC system installed January 2018 and new garage door installed November 2018. Large fully fenced enclosed backyard with small raised garden, and PLENTY of space for additional pool, children's playset, etc. Screened in back porch with ceiling fan and LED bistro lights offers plenty of bug-free outdoor space for family and friends to enjoy LSU games or holiday gatherings. Abundant storage space . Kitchen updated with new countertop, backsplash, range hood, range, sink faucet LED ceiling light and LED reversible light fixture over breakfast area. Wire hanging baskets and spice rack increases organization. All three bedrooms have fresh paint and new LED ceiling light/fan. Living Room has a vaulted ceiling. Guest bathroom has brand new floor, vanity top, LED light fixture, framed mirror, towel rack, hardware, paint, and GFCI outlet with built in night light. Master bathroom has brand new his and her vanity tops towel racks, shower-head, light fixtures, and paint. New restaurants and businesses only a few miles down the road and downtown only 15 minutes away means a variety of entertainment and food when you want it. ","$279,900 ","1,851 sqft",-91.20245,30.39065,3,2,1993," 5130 Landing Ct Baton Rouge, LA 70820 ",Baton Rouge,LA,70820
" This sunny corner one-bedroom, with south and east exposure, has the perfect layout. It boasts a gracious entry foyer and has generously proportioned rooms including an over-sized windowed eat-in kitchen, updated windowed bath, king-size bedroom, ample closet space and hardwood floors throughout. It's truly one of the best values in Manhattan and a brisk 20 minute subway ride to midtown! 143 Bennett is a well-maintained cooperative building located on a lovely tree-lined residential block. Amenities include a live-in super, elevator, video intercom, fully equipped fitness center, laundry room, bike room, storage lockers (subject to availability) and parking garage (wait listed). The backyard is outfitted with patio seating, BBQ grill, herb garden and composting for residents. The location allows access to all that Hudson Heights has to offer. There are a plethora of shops and restaurants and It's close to Fort Tyron Park and the magnificent Cloisters. 3 blocks to the A express & 1 local trains as well as the M98 express and M4 local buses. Sorry, no pets allowed. ","$395,000 ","105,108 sqft",-73.93408,40.85509,1,1,1951," 143 Bennett Ave #4R New York, NY 10040 ",New York,NY,10040
" Classic American Homes THE GEORGIA, Plan R6781S. A beautiful 1-story home with 3 bedrooms, 2 baths, granite counter tops, refrigerated a/c, ceramic tile, a large open concept, tank less water heater, and much more. Pictures are of a proposed home, and not of an actual house. ","$173,950 ","1,678 sqft",-106.12336,31.68054,3,2,2020," 13917 Lago Vista Ave Horizon City, TX 79928 ",Horizon City,TX,79928
" Welcome to North Corktown 11! An exciting new 11 townhouse condominium development conveniently located between Corktown proper and Woodbridge. These modern townhouses will deliver high quality construction with attractive finishes at a reasonable price. Each townhouse will include 2 bedrooms, 2.5 bathrooms, a private backyard, a private 1 car garage, and 1 surface tandem parking space. There is an option to upgrade to a 3rd level with a bonus room and large rooftop terrace. NEZ New Construction Tax Abatement available to principal resident owner occupants. North Corktown is a great city neighborhood with a strong sense of community. North Corktown 11 is on the front end of a growing wave of development coming to the neighborhood. We are projecting occupancy by the end of Summer 2020. ","$378,000 ","1,545 sqft",-83.07435,42.339527,3,3,," 3303 Cochrane St #2 Detroit, MI 48208 ",Detroit,MI,48208
" Apartment is good condition, quite & beautiful neighborhood, the maintenance fee includes all utilities, express bus to NYC, bus to subway, LIRR & near almost everything. ","$335,000 ","1,450 sqft",-73.78242,40.78046,3,2,1961," 18-50 211th St #5D Bayside, NY 11360 ",Bayside,NY,11360
" Hands down the best lot in the area! Stunning home by Sunrise Custom Homes with 4 sides brick and a walk out, level back yard! Hard to find in this area. Gorgeous hardwoods throughout with exquisite tile work and high end finishes make this home a contender in any price range, but the value offered in this home is unmatched. Centrally located for everything fun in Atlanta or Sandy Springs and in the Sarah Smith School District, this home is luxurious, but livable! You will enjoy entertaining and raising a family here. ","$1,850,000 ","4,600 sqft",-84.37404,33.868877,5,6,2019," 427 Pinecrest Rd NE Atlanta, GA 30342 ",Atlanta,GA,30342
" investor delight! large corner brick mix used building with solid cap rate 5% at asking! 8 families and two stores.total actual annual income: $175,000, actual expense: $55,000.(gas $6k,electric $1k,insurance$5k,water,$8k,super$3k,property tax:$31k.) net income: $116,000.eight rent stabilized residential huge apartments (4 two brs, 4 one br). two stores with new 5 years leases. $3,000 each store with 3% annual increase. minimal landlord responsibility. ","$2,080,000 ","11,400 sqft",-74.13315,40.63203,12,8,1931," 2 Decker Ave #6 Staten Island, NY 10302 ",Staten Island,NY,10302
" Beautiful and well cared home in great Phoenix location! Split floor plan features spacious living room, 3 bed, 2 bath, with a 4th bedroom upstairs, tile/carpet flooring in the right places, large family room, ceiling fans, neutral paint, and huge loft perfect for an entertainment area with vaulted ceilings & french doors that opens to a nice size deck. Kitchen offers plenty of cabinet/counter space and matching stainless steel appliances. The main bedroom has walk-in closet and lovely bath with tiled shower. Large backyard is comprised of covered patio, RV gate, citrus/shady trees, and storage shed. Don't miss out this one. Come take a look before its gone! ","$250,000 ","2,159 sqft",-112.10561,33.60351,4,2,1972," 2142 W Dahlia Dr Phoenix, AZ 85029 ",Phoenix,AZ,85029
 Cute house for that starter person or investor! Incredible price. Go see for yourself. ,"$51,000 ",768 sqft,-97.55786,35.435867,2,1,1927," 2520 SW 28th St Oklahoma City, OK 73108 ",Oklahoma City,OK,73108
" Why build new and wait months to move in? This impeccably maintained home looks and feels like new and is ready for move-in. Enjoy cooking in your beautiful kitchen with granite countertops and S/S appliances, reverse osmosis water filtration and high end water softener. Master bedroom has vaulted ceilings and an ensuite bathroom with large walk-in closet. Upstairs you'll find a large gameroom and three very good sized bedrooms. Easy access to Alamo Ranch, Lackland, USAA, Northwest Vista College, UTSA ","$242,500 ","2,312 sqft",-98.69555,29.522144,4,3,2012," 8711 Emerald Sky Dr San Antonio, TX 78254 ",San Antonio,TX,78254
" Great location off Carmel Rd, between Ballantyne and South Park! NO HOA dues, active community. This completely (ceiling to floor) renovated home shows so well with NEW matching SS appliances, granite countertops and ample cabinetry well-situated in a modern-country kitchen. NEW wall-to-wall LVP on the main level, including stairs. New carpet throughout the upstairs with LVP in bathrooms. All new light fixtures, hardware, toilets, vanities/sinks, flooring, and paint. Only minutes away from restaurants, grocery stores and the like. This is a must-see property on a large lot with a usable, private backyard. ","$323,000 ","2,050 sqft",-80.834724,35.095737,4,3,1979," 7024 Wannamaker Ln Charlotte, NC 28226 ",Charlotte,NC,28226
" 4419 N Bellflower Blvd is a multi-family home in Long Beach, CA 90808. This 2,320 square foot multi-family home sits on a 7,449 square foot lot and features 4 bedrooms and 4 bathrooms. 3 of the units are on ground level the 1 unit is on the 2nd floor. There are 4 dedicated, uncovered parking spots behind the building with access via an alleyway. This property was built in 1943 and nearby schools include CSULB, LBCC, Lakewood High School, Bancroft Middle School and Lakewood Christian Schools. The closest grocery stores are Smart & Final Extra!, Vons and Ralphs. Nearby coffee shops include Eco Coffee, Starbucks and Javatinis Espresso. Nearby restaurants include Yoplace, Village Cafe and Cirivello's Sport Stop. 4419 N Bellflower Blvd is near Del Valle Park, San Martin Park and Boyar Park. This location and building is very consistent and stable. ","$1,150,000 ","2,320 sqft",-118.12549,33.8384,4,4,1943," 4419 N Bellflower Blvd Long Beach, CA 90808 ",Long Beach,CA,90808
" new to market - gorgeous gable terrace condo offering - this 2/2 split plan, natural light and a balcony overlooking the city. great closet space, washer and dryer in the unit, new appliances and much more. well maintained building with concierge, pool, gym, business center and party room - just 2 blocks south of the miracle mile! publix and shops at merrick park just down the street! lowest 2 bedroom in building. vacant, easy to show. hurry, won't last. just reduced - make offers ","$339,000 ","1,110 sqft",-80.25415,25.746647,2,2,1995," 2351 Douglas Rd #1004 Miami, FL 33145 ",Miami,FL,33145
" You are instantly greeted by lake, city & harbor views in this sunny, southern exposure 1 bedroom condo. The kitchen is open to the living and dining rooms. Featuring newer wood laminate flooring throughout, open kitchen, dining room with tiled accent wall, luxury bath with custom art glass shower surround, whirlpool tub & vessel sink. Large bedroom easily fits California-king size bed, and offers excellent closet space. Park Place Towers is a full amenity building with outdoor pool, grilling stations, fitness center, food store, laundry room, 24-hour door staff, and on-site management. Steps to the lakefront, shopping, restaurants and the beach! Easily accessible to Lake Shore Drive, the Sheridan Red Line Stop and all the downtown bus routes. ","$185,000 ",762 sqft,-87.64629,41.953712,1,1,1973," 655 W Irving Park Rd #3015 Chicago, IL 60613 ",Chicago,IL,60613
" Location! High-demand area! One partial land with two separate houses, Great for investment or owner occupied 3/4 multiple units rental income produce property is close to metro transportation route. Front of the house includes: eat-in kitchen, living room with flooring and freshly painted & front Porch.Rear house includes: eat-in kitchen, living room with flooring and freshly painted & front ramp. Both houses roof only one year old. Bring your imagination to finish it up to produce solid income revenue. Good-sized partially fenced side/backyard,don't wait make appointment today! 2020-01-14 ","$99,900 ","1,965 sqft",-78.823784,42.891617,,,1920," 12 Krupp Ave #2 Buffalo, NY 14212 ",Buffalo,NY,14212
" This breathtaking Penthouse consists of four generous bedrooms and three full baths spread over 2,127 square feet. As you enter you are immediately struck by the incredible double height spacious and bright living area. The great room enjoys a south-facing exposure with a 20ft high wall of windows and sun-drenched balcony, looking out onto the tree tops and south Brooklyn beyond. The open plan chef's kitchen features Statuarietto Venato stone slab countertops, Dornbracht faucet, Liebherr refrigerator, custom cabinetry, and Bertazzoni professional-grade range and oven. The Master bedroom gives you the space to let go at the end of our frenzied days and the spacious master bath with Waterworks fixtures, marble herringbone floors and wainscoting will leave you in a serene state of mind to do it all again tomorrow. This unique penthouse offers you three other bedrooms, one of which can be used as a second master ensuite, complete with a private terrace overlooking the harbor and NY Skyline. The other two bedrooms are much more generous than you will find in any comparable development and allow room for now and the future. Residents will appreciate the convenience of having their own individual storage space, a Bosch washer and vented dryer, video intercom system and individually controlled, energy-efficient heating and cooling systems. To cap off this unique residence there are a total of four outdoor spaces to enjoy the seasons. A large balcony off the main living area with treetop and south Brooklyn Views. Another ample balcony from the master bedroom with harbor views. An enormous outdoor roof terrace with full views of the NY Skyline, Statue of Liberty, full Harbor and South Brooklyn. Plus another massive roof terrace on the top of the building with 360 views and perfect for creating an amazing outdoor roof garden. Located between idyllic 6th ave and bustling 5th Ave - the best of today's Park Slope is right outside your doorstep. From artisan butchers and fish mongers to farmers' markets and Whole Foods, from endless restaurants and tiny neighborhood cafes to to the many pleasures of Prospect Park and tree-lined streets, you are truly at the nexus of what modern living means in Brooklyn today. Finally, the F and R trains are two blocks away for convenient commuting. We look forward to sharing this unique residence with you, pls contact us directly for your private showing. ","$2,699,000 ","2,050 sqft",-73.985275,40.667557,4,3,1899," 432 10th St Brooklyn, NY 11215 ",Brooklyn,NY,11215
" Ready for a home with TONS of style in one of the hottest neighborhoods in Tampa?! Well now is your chance to own a well appointed modern remodel in Seminole Heights. Walking distance to the popular Henry Ola park and only minutes from all the local hot spots that make Seminole Heights such a wonderful place to live. This home has a clean but unique look, with the custom porch metal work and modern landscaping. Upon entry you will notice the gorgeous polished concrete like tiles that flow seamlessly throughout the home. This is an entertainers paradise with the living, dining and kitchen all open for those family and friend gatherings. The modern and sleek kitchen is equipped with black stainless appliances. Quartz countertops with butcher block island allows for tons of counter space. All three bathrooms have been updated with a level of detail and style which is unparalleled. The home is equipped two spacious guest rooms and master retreat full of privacy. The master en-suite has a gorgeous double vanity with frameless glass walk-in shower and huge walk- in closet. There is also an additional office space with a half bath, perfect for those who work from home or looking for extra space. The screened in back patio is perfect for entertaining or relaxing as you gaze at your over-sized lot which is full of potential! This is one unique property so if bungalows are not your style you don't want to miss this rare opportunity. NEWER ROOF, ELECTRICAL, PLUMBING, AC and attic insulated with R30. ","$445,000 ","1,790 sqft",-82.46317,28.001137,3,3,1974," 5919 N Ola Ave Tampa, FL 33604 ",Tampa,FL,33604
" great renovation opportunity! 4 bedroom, 2 bath home on pleasant residential in the northwest side of chicago. spacious living room and formal dining room with hardwood floors. large kitchen leads to adjacent family room. the second floor has three generous sized bedrooms and a full bath. semi-finished basement with rec room provides extra space. replacement windows. cash only. sold in as-is condition. ","$199,000 ","1,650 sqft",-87.778656,41.962627,4,2,1926," 4514 N McVicker Ave Chicago, IL 60630 ",Chicago,IL,60630
" You can build you dream home on this parcel. Three 50ft waterfront lots. 150ft bulhead and a 300 ft pierThe sunsets are totally awesome ! There is a building on the property that can be removed or part of your house design . Bring your imagination to the Island. This area brings Key West to Baltimore County. Marinas, great restaurants, many new homes and North Point State Park are part of the neighborhood. Come and take a look for yourself and enjoy the day ! ","$875,000 ","3,675 sqft",-76.40296,39.235218,1,1,1953," 9032 Hinton Ave Sparrows Point, MD 21219 ",Sparrows Point,MD,21219
" Honey stop the car! or Honey stop scrolling Character and charm along with a great addition and remodel done in the early 2000s this home is located on a corner lot within walking distance of parks and trails! Home features a wonderful, updated kitchen overlooking the family room addition, and the whole upper level is a master suite with its own gas fireplace. Check out the under-house 2-car tandem garage that could easily be finished for more space. ","$545,000 ","3,469 sqft",-117.4292,47.63578,4,2,1926," 1128 W 21st Ave Spokane, WA 99203 ",Spokane,WA,99203
" Great Opportunity to Own this Home. A great buy on a quiet and well-kept block of lovely homes. Solid Brick Ranch, 3 bedrooms, eat-in kitchen, full basement with bathroom. Maintenance-free exterior. Great potential with Gorgeous Hardwood floors. Home is close to expressways, restaurants, parks, public transportation, schools, churches, and shopping. The home also has 2 car garage with a Patio. ","$109,900 ","1,119 sqft",-87.64036,41.718666,3,2,1961," 9633 S Union Ave Chicago, IL 60628 ",Chicago,IL,60628
 Stately white brick Colonial situated on a gorgeous flat lot abutting French Park.Quality updates blend seamlessly with plenty of charm. Chefs Kit opens to beamed/vaulted fam rm. Gracious Living Rm. Sunny Solarium overlooks paved patio and verdant lawn. Fab Master Retreat. Walk to PR Biz District. Hurry! ,"$649,900 ","4,449 sqft",-84.42623,39.19309,5,4,1936," 3146 N Farmcrest Dr Cincinnati, OH 45213 ",Cincinnati,OH,45213
" fantastic north summerlin home. this home has five bedrooms with 5 bathrooms. bedroom downstairs has private bath and second bedroom upstairs with private bath. master bedroom with master retreat and balcony. mb has tub shower septerate, double sinks, walk-in closet. beautiful wood floors downstairs. the kitchen has a island, granite countertops, built-in double oven, walk-in pantry. within walking distance to schools. close to 215 and shopping. ","$464,500 ","3,010 sqft",-115.29273,36.203217,5,5,1994," 9037 Crimson Clover Way Las Vegas, NV 89134 ",Las Vegas,NV,89134
" Brick ranch on qjuiet street. Renovated kitchen w/custom cabinetry and granite tops. New vanities w/granite, custom tiled baths . New light fixtures, carpet , tile and laminate floors. Stainless appliances. Some minor repairs in progress. ","$229,900 ","1,716 sqft",-76.280174,36.75542,3,2,1965," 933 Mains Creek Rd Chesapeake, VA 23320 ",Chesapeake,VA,23320
" Investment Lot, Near Garden Oaks and Oak Forest ","$15,000 ",,-95.464005,29.842766,,,," Golden Forest Dr Houston, TX 77091 ",Houston,TX,77091
" This charming home in the heart of the cultural district has been fully renovated with wood floors throughout the downstairs and beautiful granite countertops in the kitchen and master bath. The upstairs is a spacious master suite with vaulted ceilings, room for a sitting area and a large updated bathroom that includes a giant walk in closet. Downstairs you will find two spacious bedrooms, an open concept living area that includes a dining area with modern chandelier. The beautiful kitchen complete with a farm sink and built in wine cooler leads into a large laundry room with additional built in cabinets and counterspace. The backyard features a large yard and a deck ready to entertain. ","$415,000 ","2,100 sqft",-97.37614,32.735054,3,2,1940," 3925 Pershing Ave Fort Worth, TX 76107 ",Fort Worth,TX,76107
" Welcome home! This beautiful well maintained 4 bedroom home in Gilbert is waiting for you!!! Neutral paint and floors throughout, updated cabinets, open concept great room, huge master bedroom and updated guest bathroom, not to mention the beautiful pool in the back! Close to freeways and downtown Gilbert, but falls into the A rated Chandler School District!!! Don't delay this will not be on the market for long! ","$319,000 ","1,489 sqft",-111.79401,33.32059,4,1.75,1995," 194 W Shannon St Gilbert, AZ 85233 ",Gilbert,AZ,85233
" This well maintained condo in the Town & Country Area is ready to move in or modernize. This 2-story condo has a private patio that invites comfort. With 3 bedrooms, 2 and a half baths, generous living space and stylish finishes, you'll enjoy a perfect setting for relaxing and entertaining. ","$205,000 ","2,049 sqft",-95.556366,29.74691,3,3,1975," 10365 Briar Forest Dr Houston, TX 77042 ",Houston,TX,77042
" ONE UNIT VACANT AT CLOSE OF ESCROW! Amazing opportunity & Prime location in a rapidly developing area! Best priced duplex in the area! Perfect for owner/user or investor. Plenty of room to expand on this large lot. Nearby to freeways and adjacent to metro offers easy access to Downtown and Santa Monica. This well maintained duplex of 1 bedroom units are bright and quiet with galley style kitchens and bonus area for washer/dryer hook up, walk-in closet or extra storage. Each unit has a remote control garage parking as well as ample additional parking in the front and rear of the building. Property inspection with submitted and accepted offer. ","$509,000 ","1,200 sqft",-118.311226,34.017994,2,2,1922," 1706 Exposition Blvd Los Angeles, CA 90018 ",Los Angeles,CA,90018
" Absolutely Amazing Opportunity in Hot Adair Park...A Beltline community! One of the newer homes in the area that's waiting for someone to take it to the next level! Property features Hardwood Floors, a Huge Deck, and a Private Back yard. Great access to the Beltline, Allene Urban Farm, and even Bonnie Brae park. One of the hottest up and coming communities in Atlanta! DON'T MISS OUT! CALL TODAY! ","$169,900 ",978 sqft,-84.409645,33.734203,3,1,2002," 668 Shelton Ave SW Atlanta, GA 30310 ",Atlanta,GA,30310
 JUST REDUCED! with pre-finished wood flooring and kitchen/bath updates. Fenced yard and large front porch. Sold as-is with buyer receiving 10 days to inspect. Seller's addm required & pre-qual/proof of funds required for final acceptance. Exempt from disclosures. ,"$165,500 ","1,192 sqft",-80.87735,35.24278,2,2,1935," 2920 Parkway Ave Charlotte, NC 28208 ",Charlotte,NC,28208
" The three bedroom two and one-half bathroom Columbia home design offers approximately 1,880 square feet of living space with an attached two-bay garage. The first floor features an open concept kitchen, dining room and great room that is ideal for family gatherings and entertaining. The upstairs master retreat features a walk-in shower with dual vanities and spacious walk-in closet for plenty of storage. ","$411,700 ","1,880 sqft",-104.785835,39.880444,3,2.5,," 9440 Rifle St Commerce City, CO 80022 ",Commerce City,CO,80022
" This beautifully maintained Baxter plan built by award-winning Byer Homes is ready for a new owner. This gorgeous 4 bedroom, 2.5 bathroom home on an unfinished basement sits on a spacious corner lot with low-maintenance black aluminum fencing. This open floor plan home features 9' ceilings and engineered hardwood floors throughout the first floor. The kitchen has granite countertops, an eat-in island, stainless steel appliances, a walk-in pantry, as well as a butler's pantry including a beverage refrigerator and bar area. The formal dining room, featuring a tray ceiling, could easily be used as a home office or library. The living room is the perfect gathering place w/a gas fireplace surrounded by built-ins. The upstairs owner's suite features a double vanity, tiled shower, soaking tub, separate his and her walk-in closets. Upstairs are 3 additional bedrooms and full hall bathroom. Data believed correct but not guaranteed. Buyer to verify data prior to offer. Agents read Agent Remarks. ","$385,000 ","2,559 sqft",-84.4436,38.037704,4,3,2015," 1819 Battery St Lexington, KY 40509 ",Lexington,KY,40509
" Your days of circling the South End streets for parking are over! No more wasted time, tows, tickets, or moving your car for street cleaning. Enjoy the peace of mind that comes with owning your own parking space. For investors there are endless options such as: short, long term leasing, or on demand ParkShare. Current owner makes $300/month on each space. Great Value! ","$150,000 ",,-71.07449,42.335693,,,," 58 E Springfield St #U-A Boston, MA 02118 ",Boston,MA,2118
" Walk to Old Town, Mission & Bankers Hill from your move in ready & well maintained Terracina townhome w smart floorplan located in the heart of all things Ã¢ÂÂAmericaÃ¢ÂÂs Finest City!Ã¢ÂÂ has to offer. A short drive to Little Italy, downtown SD/Gaslamp, SDAirport, Balboa & Petco Parks, the Zoo! Lots of space in between homes; extremely well built! Enjoy privacy while also being so close to all! Vaulted ceilings in 2 master BRs; Ceilings fans; upgraded wood & tile flooring. Granite countertops! Low HOFee! See supp ","$575,000 ","1,168 sqft",-117.17417,32.736805,2,3,2003," 1307 Terracina Ln San Diego, CA 92103 ",San Diego,CA,92103
" introducing a new construction single family home in the award-winning audubon school district. this property features a hardie board siding & limestone exterior with 5 bed/4.2 bath. the home boasts a unique open expansive floor plan with transitional details. the first floor has an elegant formal living/dining room with a custom-built fireplace, commercial grade chef's kitchen, custom cabinetry, quartz counter tops and high-end appliances that includes wolf, subzero and asko, large walk-in pantry & butler's wet bar. there are three bedrooms three bathrooms located on the second floor with two en-suite, this level also includes a tasteful master suite with vaulted ceilings, walk-in closet & spa-like bath with steam shower, dual vanities and an over-sized soaking tub with heated floors and a conveniently placed laundry room. the lower level is equipped with radiant heat throughout, recreational room, wet bar, extra storage, two additional bedrooms, one en-suite and powder room. rear first floor mudroom leads to large garage roof deck, back paved patio and a two-car garage. ","$1,499,900 ","4,100 sqft",-87.68732,41.944252,5,6,1895," 3436 N Claremont Ave Chicago, IL 60618 ",Chicago,IL,60618
" single family home sold as-is and ready for a new family. not bank owned and not a short sale, owners are local and motivated. this home is being sold as-is, so please inspect prior to submitting an offer. please note: 0% tax prorations are offered, the seller will pay current and all prior tax but 0% credit for future bills. special warranty deed at closing. no survey. for faster response please use sellers contract, addendum and disclosures under documents. ","$54,000 ","3,125 sqft",-87.621864,41.77373,3,2,1890," 6642 S Hartwell Ave Chicago, IL 60637 ",Chicago,IL,60637
 Sold as a package with 1043 Brantley Ave and 514 N Highland Ave ,"$145,000 ","1,164 sqft",-76.569466,39.297382,3,1,1925," 505 N Highland Ave Baltimore, MD 21205 ",Baltimore,MD,21205
